review_index,first_image_id,second_image_id,filename_numeric_gap,visual_label,mechanism,visual_confidence,automatic_edge,review_candidate,hard_contradiction,same_document_probability,same_occluded_probability,branch,feature_overlap,reason
1,i4071660/i4071660-00420.jpg,i4071660/i4071660-00421.jpg,1,different,adjacent_book_pages,high,False,False,True,0.03661945640357576,0.02034521630421468,,0.0356,too little document-specific registration support
2,i4071661/i4071661-00029.jpg,i4071661/i4071661-00030.jpg,1,different,different_physical_pages_same_case,high,False,False,False,0.0068556751605759044,0.006439414708542482,physical_occlusion,0.0,review-only deterministic match: full-page ECC match requires review
3,i4071661/i4071661-00050.jpg,i4071661/i4071661-00051.jpg,1,different,title_card_vs_certificate_card,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
4,63129_2327225e_0183/63129_2327225e_0183-00081.jpg,63129_2327225e_0183/63129_2327225e_0183-00083.jpg,2,same,near_duplicate_same_page,high,False,True,True,0.9823910912277034,0.7503335125086034,,0.4544,distributed coherent ink disagreement
5,i4071656/i4071656-00463.jpg,i4071656/i4071656-00465.jpg,2,uncertain,blank_reverse_ambiguity,low,False,True,True,0.49957420426889787,0.3426625212441602,,0.0,distributed coherent ink disagreement
6,i4071660/i4071660-00907.jpg,i4071660/i4071660-00909.jpg,2,different,adjacent_book_pages,high,False,False,False,0.0052610632254866145,0.004758161590175116,physical_occlusion,0.0,review-only deterministic match: full-page ECC match requires review
7,i4071662/i4071662-00658.jpg,i4071662/i4071662-00660.jpg,2,same,same_page_certificate_overlay,high,False,False,True,0.0006039481892620829,0.0003651461758755774,,0.042505592841163314,insufficient valid overlap after registration
8,i4071651/i4071651-00799.jpg,i4071651/i4071651-00802.jpg,3,different,different_filled_index_cards,high,False,True,True,0.9524029656614573,0.8426402948372155,,0.084,too little document-specific registration support
9,i4071651/i4071651-00817.jpg,i4071651/i4071651-00820.jpg,3,same,front_vs_marked_reverse_card,medium,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
10,i4071652/i4071652-00003.jpg,i4071652/i4071652-00006.jpg,3,different,index_marker_vs_blank_card,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
11,i4071652/i4071652-00006.jpg,i4071652/i4071652-00009.jpg,3,uncertain,blank_reverse_vs_clipping_reverse,low,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
12,i4071656/i4071656-00442.jpg,i4071656/i4071656-00446.jpg,4,different,different_filled_certificate_cards,high,False,False,True,0.036835877686357,0.0013342914866946473,,0.0728,same form structure but page-wide document-specific ink replacement
13,63129_2327225e_0061/63129_2327225e_0061-00417.jpg,63129_2327225e_0061/63129_2327225e_0061-00421.jpg,4,different,cover_or_title_pages,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
14,i4071661/i4071661-00132.jpg,i4071661/i4071661-00136.jpg,4,different,divider_cards,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
15,i4071660/i4071660-00597.jpg,i4071660/i4071660-00602.jpg,5,different,adjacent_ledger_pages,high,False,True,True,0.3221723140316026,0.1741360288777647,,0.1432,distributed coherent ink disagreement
16,i4071656/i4071656-01752.jpg,i4071656/i4071656-01757.jpg,5,different,different_filled_index_cards,high,False,False,True,0.005684502757524698,0.0002120076489372576,,0.0456,same form structure but page-wide document-specific ink replacement
17,i4071653/i4071653-00813.jpg,i4071653/i4071653-00818.jpg,5,uncertain,front_vs_faint_reverse_or_adjacent_page,low,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
18,i4071663/i4071663-00015.jpg,i4071663/i4071663-00020.jpg,5,different,different_mail_receipt_fragments,high,False,False,False,0.0,0.0,,0.0,ECC fallback rejected incompatible image aspect ratios
19,i4071652/i4071652-00003.jpg,i4071652/i4071652-00009.jpg,6,different,index_sheet_vs_clipping_reverse,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
20,i4071652/i4071652-01246.jpg,i4071652/i4071652-01252.jpg,6,same,front_vs_blank_reverse_card,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
21,i4071656/i4071656-00415.jpg,i4071656/i4071656-00421.jpg,6,uncertain,marked_reverse_vs_blank_reverse,low,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
22,i4071653/i4071653-00089.jpg,i4071653/i4071653-00096.jpg,7,different,different_declarations,high,False,True,True,0.16524310533876171,0.1218490793293701,,0.15038945476333135,distributed coherent ink disagreement
23,i4071653/i4071653-00672.jpg,i4071653/i4071653-00680.jpg,8,different,different_handwritten_pages,high,False,False,False,0.0,0.0,,0.0,small-motion ECC fallback did not converge
24,i4071656/i4071656-01627.jpg,i4071656/i4071656-01635.jpg,8,same,front_vs_additional_information_reverse,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
25,i4071660/i4071660-00698.jpg,i4071660/i4071660-00707.jpg,9,different,adjacent_ledger_pages,high,False,True,False,0.8146222363372687,0.7510359886077148,,0.0904,too little document-specific registration support
26,i4071661/i4071661-00360.jpg,i4071661/i4071661-00369.jpg,9,different,different_record_pages,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
27,i4071660/i4071660-00909.jpg,i4071660/i4071660-00919.jpg,10,different,blank_ledger_vs_name_index,high,False,False,True,0.9056627767781151,0.04013899162432439,,0.0392156862745098,same form structure but page-wide document-specific ink replacement
28,i4071656/i4071656-01307.jpg,i4071656/i4071656-01317.jpg,10,uncertain,blank_card_back_ambiguity,low,False,True,False,0.902380786985998,0.7100798591869237,physical_occlusion,0.0,review-only deterministic match: full-page ECC match requires review
29,i4071656/i4071656-01757.jpg,i4071656/i4071656-01767.jpg,10,different,different_filled_index_cards,high,False,False,True,0.0018172536206561422,6.076566195961557e-05,,0.0576,same form structure but page-wide document-specific ink replacement
30,i4071651/i4071651-00647.jpg,i4071651/i4071651-00658.jpg,11,different,different_filled_index_cards,high,False,False,True,0.05377527308728226,0.025606038359386147,,0.0632,too little document-specific registration support
31,i4071658/i4071658-00101.jpg,i4071658/i4071658-00112.jpg,11,different,adjacent_book_spreads_page_turn,high,False,False,True,0.0034020028676627714,0.0001398254778345432,,0.0452,same form structure but page-wide document-specific ink replacement
32,63129_2327225e_0078/63129_2327225e_0078-00298.jpg,63129_2327225e_0078/63129_2327225e_0078-00309.jpg,11,different,different_record_pages,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
33,i4071652/i4071652-00269.jpg,i4071652/i4071652-00280.jpg,11,same,front_vs_additional_information_reverse,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
34,i4071652/i4071652-00990.jpg,i4071652/i4071652-01001.jpg,11,same,front_vs_additional_information_reverse,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
35,i4071652/i4071652-01235.jpg,i4071652/i4071652-01246.jpg,11,same,blank_reverse_vs_typed_front_card,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
36,i4071655/i4071655-00399.jpg,i4071655/i4071655-00410.jpg,11,same,front_vs_marked_reverse_card,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
37,i4399010/i4399010-00076.jpg,i4399010/i4399010-00087.jpg,11,different,blank_ledger_vs_oath_page,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
38,i4071652/i4071652-00109.jpg,i4071652/i4071652-00121.jpg,12,uncertain,additional_information_card_ambiguity,low,False,False,True,0.05590372866122216,0.0018350701529206126,,0.05128205128205128,same form structure but page-wide document-specific ink replacement
39,i4071654/i4071654-00300.jpg,i4071654/i4071654-00312.jpg,12,same,front_vs_additional_information_reverse,high,False,False,False,0.002248786609492583,0.0020042361545619574,physical_occlusion,0.0,review-only deterministic match: full-page ECC match requires review
40,63129_2327225e_0026/63129_2327225e_0026-00276.jpg,63129_2327225e_0026/63129_2327225e_0026-00288.jpg,12,different,different_certificates,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
41,i4071652/i4071652-00009.jpg,i4071652/i4071652-00021.jpg,12,same,clipping_reverse_vs_front_card,medium,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
42,i4071660/i4071660-00907.jpg,i4071660/i4071660-00919.jpg,12,different,different_book_pages,high,False,False,False,0.0,0.0,,0.0,"ECC fallback skipped: weak descriptor, affine-seed, and coarse phase evidence"
